Week Ending,Adult-Use Retail Sales,Medical Marijuana Retail Sales,Total Adult-Use and Medical Sales,Adult-Use Products Sold,Medical Products Sold,Total Products Sold,Adult-Use Average Product Price,Medical Average Product Price
03/02/2024,1287859.27,682858.79,1970718.06,32192,18392,50584,39.99,37.13
03/09/2024,3612919.54,1961791.30,5574710.84,88303,54350,142653,40.81,36.26
03/16/2024,3546220.92,1920535.39,5466756.22,85823,53257,139080,41.42,36.20
03/23/2024,3631815.83,1942175.01,5573990.84,89045,55165,144210,40.82,35.33
03/30/2024,3800066.22,2054265.02,5854331.24,94862,58775,153637,40.07,35.09
03/31/2024,163995.01,62837.67,226832.68,4188,1916,6104,39.16,32.80
04/06/2024,3422556.16,1913167.54,5335723.70,84267,53584,137851,40.63,35.81
04/13/2024,3520051.33,1887788.18,5407839.51,90734,54034,144768,39.04,35.02
04/20/2024,3951777.44,2125125.29,6076902.73,108100,62499,170599,36.93,34.20
04/27/2024,3434168.67,1683214.96,5117383.63,91124,48817,139941,37.65,34.43
04/30/2024,1291739.27,733131.16,2024870.43,32945,21082,54027,39.14,34.99
05/04/2024,2327225.46,1135825.31,3463050.77,58595,31249,89844,39.74,36.36
05/11/2024,3660398.46,1857724.71,5518123.17,92870,52621,145491,39.50,35.47
05/18/2024,3673448.12,1802897.66,5476345.78,93239,50854,144093,39.37,35.42
05/25/2024,3784114.39,1962933.48,5747047.87,96509,56792,153301,39.29,34.72
05/31/2024,3071008.25,1438312.36,4509320.61,80549,42190,122739,38.12,34.02
06/01/2024,585974.54,255534.28,841508.82,15288,7223,22511,38.33,35.38
06/08/2024,3757426.07,1791194.21,5548620.28,96544,51021,147565,38.89,35.13
06/15/2024,3800144.33,1792704.56,5592848.89,96405,51203,147608,39.36,35.16
06/22/2024,3888303.98,1839670.93,5727974.91,99529,51825,151354,39.11,35.59
06/29/2024,3817472.57,1836755.85,5654228.42,100016,53216,153232,38.24,34.75
06/30/2024,418261.97,140971.55,559233.52,11117,4124,15241,37.62,34.18
07/06/2024,3584963.44,1728181.99,5313145.43,95034,50298,145332,37.70,34.42
07/13/2024,3787454.93,1692313.77,5479768.70,99646,48805,148451,38.03,34.76
07/20/2024,3781081.75,1659765.36,5440847.11,98360,48178,146538,38.39,34.60
07/27/2024,3824983.29,1691752.82,5516736.11,99826,48879,148705,38.35,34.69
07/31/2024,1972580.09,930142.15,2902722.24,50936,26628,77564,38.72,35.16
08/03/2024,2005883.61,852646.14,2858529.75,52356,23906,76262,38.29,35.61
08/10/2024,3958542.52,1691189.69,5649732.21,103220,48653,151873,38.41,34.90
08/17/2024,3979835.58,1662719.37,5642554.95,102930,47557,150487,38.65,35.00
08/24/2024,3949928.36,1649252.37,5599180.73,102013,47690,149703,38.74,34.69
08/31/2024,4095195.39,1818866.96,5914062.35,106257,52802,159059,38.74,34.56
09/07/2024,3873975.26,1537711.95,5411687.21,99031,44067,143098,39.08,34.97
09/14/2024,3949188.87,1697381.46,5646570.33,100657,49611,150268,39.34,34.41
09/21/2024,3948804.85,1604463.80,5553268.65,103934,47189,151123,38.14,34.00
09/28/2024,3909930.54,1572977.07,5482907.61,101324,45640,146964,38.64,34.51
09/30/2024,930417.30,421071.10,1351488.40,23693,12376,36069,39.27,34.31
10/05/2024,2972199.82,1131535.63,4103735.45,75662,32227,107889,39.30,35.11
10/12/2024,3968497.02,1567122.80,5535619.82,102519,44879,147398,38.82,35.02
10/19/2024,3893871.46,1509451.73,5403323.19,101863,44152,146015,38.33,34.28
10/26/2024,3873443.20,1523158.81,5396602.01,101808,44664,146472,38.12,34.17
10/31/2024,2561209.77,1054657.50,3615867.27,15884,7010,22894,38.08,34.12
11/02/2024,1384107.18,517741.63,1898848.81,35336,14563,49889,39.16,35.35
11/09/2024,4040417.73,1527343.83,5567761.56,103042,43471,146513,39.27,35.18
11/16/2024,3975250.18,1536347.26,5511597.44,103119,44029,147148,38.69,34.95
11/23/2024,3962393.54,1550390.97,5512784.51,103841,44903,148744,38.24,34.48
11/30/2024,4270473.55,1646960.11,5917433.66,119647,50394,170041,35.66,33.21
12/07/2024,3815937.96,1472708.76,5288646.72,101509,43067,144576,37.61,34.24
12/14/2024,3962035.13,1514837.95,5476873.08,106590,45104,151694,37.31,33.62
12/21/2024,4351573.03,1694303.75,6045876.78,120055,51266,171321,36.38,33.07
12/28/2024,4339416.93,1505945.51,5845362.44,120018,44833,164851,35.57,33.76
12/31/2024,1948354.91,829632.57,2777987.47,55268,24951,80219,35.55,33.99
01/04/2025,2190938.06,717338.56,2908276.62,58974,21332,80306,36.85,33.53
01/11/2025,3869339.08,1463940.50,5333279.58,104355,43082,147437,37.13,33.99
01/18/2025,3965317.95,1479968.16,5445286.11,106178,44612,150790,37.39,33.19
01/25/2025,3906139.31,1408327.92,5314467.23,104280,41562,145842,37.53,33.84
01/31/2025,3286964.78,1297129.97,4584094.75,88426,38813,127239,37.28,33.57
02/01/2025,664704.32,212069.42,876773.74,18030,6390,24420,36.87,33.19
02/08/2025,4223045.13,1562011.43,5785056.56,112887,46850,159737,37.51,33.30
02/15/2025,3951380.99,1424684.09,5376065.08,107244,42954,150198,36.93,33.22
02/22/2025,4004174.86,1415462.40,5419637.26,108534,42754,151288,36.95,33.14
02/28/2025,3388797.88,1277287.20,4666085.08,93003,39101,132104,36.49,32.70
03/01/2025,666790.78,221787.12,888577.90,18584,6745,25329,35.88,32.88
03/08/2025,4054616.09,1474163.69,5528779.78,112074,45528,157602,36.28,32.42
03/15/2025,3955949.42,1502361.77,5458311.19,110578,45593,156171,35.83,32.98
03/22/2025,3985886.99,1447599.56,5433486.55,112012,44477,156489,35.58,32.54
03/29/2025,4025594.57,1470455.32,5496049.89,114000,45227,159227,35.38,32.53
03/31/2025,1013421.85,429065.92,1442487.77,28641,12965,41606,35.40,32.87
04/05/2025,3123250.36,1075696.95,4198947.31,89314,33575,122889,34.98,32.09
04/12/2025,4093083.25,1486708.61,5579791.86,114725,44934,159659,35.68,33.01
04/19/2025,4324436.81,1668729.98,5993166.79,128475,53269,181744,34.10,31.55
04/26/2025,3896284.43,1301279.42,5197563.85,113973,39939,153912,34.16,32.39
04/30/2025,2058994.08,769681.17,2828675.25,58301,23111,81412,35.32,33.15
,413314212.57,248007035.45,661318308.82,,,,,
